iter	RMSE
0	21789.20779
1	21031.31159
2	20360.62453
3	19809.44719
4	19276.05651
5	18877.65785
6	18539.09276
7	18197.20493
8	17901.7245
9	17314.18739
10	17029.1049
11	16793.93395
12	16609.64141
13	16114.95748
14	15949.11931
15	15581.7025
16	15445.95273
17	15286.25493
18	15129.40888
19	15021.68614
20	14906.74226
21	14579.88384
22	14311.26556
23	14192.57409
24	14123.17217
25	13928.95236
26	13829.12062
27	13771.35946
28	13688.52129
29	13621.14224
30	13558.26191
31	13383.63455
32	13312.54268
33	13229.67711
34	13178.18324
35	13022.86311
36	12900.61132
37	12834.32925
38	12801.21876
39	12740.09559
40	12678.4105
41	12633.83015
42	12522.34531
43	12461.41489
44	12375.60456
45	12322.7153
46	12264.67701
47	12221.67685
48	12176.79415
49	12132.32976
50	12060.49739
51	11960.83538
52	11864.72972
53	11793.45131
54	11718.13907
55	11670.05493
56	11640.69342
57	11603.51186
58	11561.94864
59	11530.30203
60	11475.34768
61	11429.13845
62	11406.17255
63	11335.00905
64	11282.70434
65	11254.07355
66	11211.44538
67	11164.26972
68	11140.85495
69	11112.65124
70	11078.27289
71	11037.84023
72	11006.35643
73	10983.64348
74	10944.10463
75	10900.98583
76	10874.08657
77	10843.15966
78	10822.48418
79	10795.93219
80	10770.20585
81	10738.82328
82	10704.63227
83	10670.41558
84	10643.20526
85	10622.52221
86	10597.87679
87	10583.9449
88	10566.28349
89	10506.5051
90	10480.22566
91	10462.78691
92	10451.14323
93	10413.73022
94	10391.03472
95	10370.23964
96	10334.65869
97	10309.00714
98	10286.39319
99	10260.20241
100	10236.45408
101	10192.94253
102	10177.57527
103	10142.78936
104	10124.89709
105	10112.56409
106	10089.73903
107	10067.37599
108	10030.71778
109	10014.51474
110	9983.827992
111	9963.936063
112	9944.775467
113	9921.742355
114	9887.77625
115	9874.804225
116	9854.677901
117	9823.872333
118	9808.163379
119	9774.653287
120	9758.094493
121	9743.903003
122	9726.573142
123	9715.683751
124	9699.274286
125	9687.417909
126	9657.721028
127	9644.380017
128	9627.900636
129	9603.814354
130	9592.95087
131	9578.700715
132	9557.424679
133	9526.394538
134	9499.021817
135	9486.00265
136	9474.012844
137	9463.216598
138	9441.048474
139	9427.310247
140	9417.19361
141	9403.772606
142	9394.673907
143	9384.990628
144	9373.881843
145	9361.092304
146	9333.756919
147	9307.801834
148	9290.717698
149	9271.137322
150	9260.529632
151	9226.352836
152	9207.485594
153	9191.427166
154	9182.775334
155	9167.172487
156	9146.285611
157	9133.126929
158	9125.061646
159	9111.336165
160	9101.496167
161	9075.143258
162	9054.202115
163	9040.131362
164	9031.10334
165	9017.970326
166	9011.793605
167	8997.718012
168	8978.533383
169	8971.512021
170	8958.572235
171	8949.387994
172	8934.040778
173	8925.356465
174	8910.757098
175	8895.537613
176	8881.140787
177	8870.758479
178	8861.50196
179	8853.587877
180	8843.445288
181	8833.655337
182	8821.010806
183	8811.071855
184	8803.036222
185	8789.272551
186	8764.622526
187	8758.717651
188	8747.351279
189	8740.754866
190	8734.691351
191	8718.822419
192	8711.146652
193	8696.145394
194	8682.26803
195	8633.136474
196	8622.061318
197	8614.176277
198	8595.334057
199	8586.52017
200	8577.120538
201	8568.569392
202	8562.042611
203	8547.602196
204	8536.856787
205	8522.870814
206	8510.667669
207	8504.153618
208	8490.45723
209	8472.959892
210	8464.712273
211	8459.372553
212	8447.393581
213	8441.148584
214	8413.183226
215	8404.055253
216	8397.29131
217	8391.829678
218	8387.031135
219	8379.931737
220	8368.654773
221	8358.324024
222	8349.515535
223	8343.550391
224	8331.440517
225	8324.842443
226	8312.335734
227	8299.997547
228	8292.688625
229	8283.550804
230	8278.593028
231	8272.145714
232	8265.520351
233	8226.485104
234	8220.583345
235	8214.131174
236	8201.525295
237	8196.513628
238	8191.182917
239	8184.531328
240	8175.981468
241	8164.751162
242	8156.427525
243	8150.143017
244	8143.128958
245	8138.876282
246	8132.423953
247	8123.185736
248	8114.5556
249	8106.614321
250	8096.578408
251	8087.10612
252	8075.499393
253	8043.282185
254	8033.068688
255	8028.199637
256	8020.088348
257	8015.488844
258	8006.270785
259	7999.15345
260	7990.279005
261	7981.025981
262	7976.828373
263	7966.300814
264	7958.982576
265	7953.846092
266	7948.632678
267	7943.765659
268	7913.284365
269	7907.700421
270	7899.361163
271	7890.795888
272	7884.913313
273	7877.984409
274	7875.058791
275	7866.504516
276	7858.566509
277	7851.72683
278	7844.378654
279	7833.269973
280	7827.433188
281	7809.302964
282	7801.292841
283	7794.233234
284	7791.384761
285	7784.685935
286	7781.444301
287	7777.234334
288	7770.857506
289	7760.402463
290	7755.639014
291	7750.387732
292	7746.258373
293	7740.681741
294	7733.629243
295	7729.453397
296	7726.0644
297	7718.700654
298	7714.161131
299	7703.913328
300	7698.956149
301	7692.907693
302	7686.821602
303	7681.78703
304	7678.78941
305	7672.955986
306	7667.686365
307	7661.092536
308	7654.961577
309	7648.136783
310	7644.283804
311	7630.544666
312	7626.705645
313	7623.176454
314	7618.702546
315	7611.691413
316	7606.331879
317	7603.093123
318	7594.380501
319	7589.452315
320	7584.556077
321	7580.308415
322	7574.655206
323	7569.857424
324	7563.279708
325	7557.602772
326	7550.257381
327	7545.865237
328	7540.400639
329	7534.207536
330	7530.117892
331	7527.779497
332	7524.709032
333	7520.146803
334	7517.006187
335	7512.160761
336	7508.067394
337	7503.584544
338	7497.921839
339	7492.4812
340	7489.855063
341	7466.89631
342	7455.246609
343	7446.82358
344	7442.056442
345	7436.570867
346	7433.907447
347	7431.469345
348	7417.615528
349	7415.021474
350	7410.75481
351	7406.728965
352	7403.09247
353	7396.673439
354	7393.722628
355	7388.076855
356	7384.107171
357	7375.911448
358	7367.154894
359	7360.496681
360	7357.869805
361	7354.055229
362	7348.385272
363	7346.280009
364	7342.202098
365	7339.105146
366	7329.818293
367	7325.216159
368	7320.729368
369	7315.067005
370	7308.378578
371	7304.62221
372	7300.976475
373	7296.248124
374	7292.729995
375	7286.841324
376	7283.055584
377	7279.841209
378	7277.270895
379	7274.202335
380	7251.255085
381	7247.452656
382	7243.683488
383	7237.937764
384	7235.97371
385	7231.545379
386	7227.834735
387	7223.412848
388	7217.467264
389	7212.632608
390	7210.137988
391	7204.147955
392	7200.366649
393	7191.7819
394	7184.698729
395	7179.511093
396	7174.423972
397	7171.699078
398	7164.582194
399	7157.168833
400	7154.344432
401	7150.873649
402	7147.831906
403	7145.369437
404	7140.65236
405	7138.508382
406	7135.527239
407	7130.324075
408	7123.146797
409	7119.088122
410	7112.962525
411	7109.121464
412	7104.414786
413	7101.265475
414	7096.148814
415	7092.37018
416	7089.184568
417	7086.364692
418	7076.241317
419	7074.189893
420	7069.439693
421	7066.007337
422	7062.763369
423	7057.308268
424	7053.31442
425	7047.479655
426	7037.18241
427	7034.63093
428	7031.238827
429	7028.733529
430	7025.465948
431	7022.18159
432	7018.085309
433	7016.312709
434	7010.173881
435	7008.541832
436	7005.587826
437	7001.199405
438	6997.167816
439	6993.494554
440	6987.00094
441	6984.052181
442	6977.48963
443	6973.756877
444	6970.549
445	6966.376753
446	6964.65586
447	6956.881149
448	6951.809167
449	6947.914638
450	6945.247486
451	6941.279837
452	6936.665922
453	6934.487792
454	6931.762284
455	6927.438912
456	6920.117639
457	6916.944742
458	6913.101457
459	6911.221838
460	6907.621494
461	6904.125976
462	6899.619092
463	6895.696887
464	6891.117212
465	6887.555094
466	6883.927324
467	6882.264537
468	6878.296892
469	6876.551834
470	6873.578963
471	6870.556742
472	6868.277086
473	6864.579991
474	6861.390334
475	6858.770318
476	6856.76507
477	6853.218558
478	6851.354311
479	6848.737695
480	6846.640929
481	6844.051087
482	6840.883401
483	6839.234411
484	6835.980974
485	6833.745781
486	6830.978583
487	6826.214841
488	6824.010668
489	6820.994338
490	6818.933787
491	6816.667893
492	6814.317422
493	6812.61378
494	6809.991075
495	6805.497528
496	6802.853782
497	6793.184495
498	6790.942844
499	6789.075499
500	6787.170985
501	6785.272387
502	6783.780817
503	6779.886162
504	6778.072382
505	6775.80892
506	6774.369923
507	6770.827297
508	6768.589291
509	6765.484841
510	6758.665249
511	6751.215606
512	6747.906939
513	6744.122712
514	6737.607709
515	6736.231903
516	6734.383622
517	6731.163042
518	6727.169534
519	6725.666935
520	6720.896248
521	6718.317991
522	6715.192538
523	6711.519221
524	6707.754073
525	6705.669439
526	6703.885279
527	6701.556894
528	6698.213741
529	6693.945798
530	6691.418557
531	6689.716457
532	6687.717727
533	6685.114215
534	6683.575233
535	6679.676454
536	6677.842453
537	6675.21865
538	6673.064853
539	6670.562135
540	6668.108764
541	6664.68413
542	6660.716395
543	6654.200243
544	6651.655462
545	6649.251282
546	6644.345087
547	6642.293497
548	6638.827177
549	6635.920061
550	6633.267308
551	6629.505615
552	6627.633978
553	6626.475138
554	6623.340931
555	6621.579281
556	6619.302508
557	6616.304866
558	6613.163715
559	6612.115666
560	6608.335218
561	6606.125949
562	6596.232117
563	6593.149967
564	6587.502207
565	6585.214444
566	6583.316263
567	6580.697098
568	6578.413297
569	6576.650883
570	6573.217412
571	6571.511122
572	6567.419079
573	6566.237424
574	6564.557871
575	6561.876594
576	6559.706094
577	6558.354577
578	6556.242206
579	6554.017495
580	6552.155743
581	6550.232507
582	6546.200204
583	6543.712232
584	6541.185234
585	6540.011636
586	6537.657267
587	6535.663533
588	6534.596237
589	6532.939598
590	6530.549299
591	6528.306455
592	6525.979662
593	6521.519514
594	6518.15409
595	6516.311784
596	6510.072396
597	6508.680004
598	6505.048117
599	6502.852233
600	6501.442054
601	6499.455036
602	6497.682291
603	6496.068271
604	6494.917829
605	6489.892635
606	6486.976488
607	6485.028459
608	6483.28078
609	6480.965608
610	6479.65484
611	6477.557985
612	6475.543061
613	6471.68463
614	6468.024337
615	6463.439219
616	6462.561844
617	6459.883259
618	6458.514366
619	6452.133806
620	6450.688233
621	6446.721168
622	6444.516368
623	6442.073995
624	6440.706293
625	6438.749276
626	6437.123676
627	6434.490416
628	6432.302714
629	6428.845344
630	6427.437053
631	6425.23684
632	6424.109111
633	6422.464774
634	6417.546345
635	6415.836332
636	6412.825137
637	6410.405355
638	6408.823697
639	6403.135174
640	6401.139913
641	6389.026537
642	6387.259831
643	6385.586138
644	6380.693202
645	6378.950475
646	6377.796247
647	6375.412481
648	6374.838559
649	6372.568741
650	6370.803679
651	6370.326289
652	6368.247122
653	6366.785067
654	6365.18385
655	6363.058258
656	6361.633244
657	6360.424788
658	6358.56529
659	6351.683661
660	6347.180598
661	6344.272671
662	6342.685281
663	6341.561064
664	6339.837919
665	6338.124535
666	6335.600582
667	6333.35008
668	6329.319362
669	6325.917496
670	6325.202046
671	6323.079314
672	6321.222138
673	6319.947373
674	6316.692828
675	6315.622306
676	6314.074592
677	6309.442085
678	6308.112178
679	6305.768146
680	6304.536011
681	6303.004558
682	6301.056062
683	6298.487089
684	6296.751856
685	6294.94952
686	6292.524304
687	6290.495143
688	6287.151011
689	6286.21576
690	6284.567494
691	6282.750878
692	6281.273992
693	6278.107673
694	6274.664382
695	6271.206446
696	6269.69944
697	6268.024642
698	6266.528798
699	6261.413505
700	6259.953992
701	6257.761996
702	6254.839685
703	6253.627705
704	6250.883267
705	6249.659973
706	6248.533027
