iter	Passed	Remaining
0	24	24029
1	47	23730
2	69	23262
3	93	23251
4	116	23210
5	142	23616
6	168	23970
7	193	23973
8	216	23883
9	244	24171
10	268	24182
11	292	24045
12	315	23947
13	344	24269
14	368	24173
15	396	24366
16	419	24266
17	447	24406
18	471	24335
19	496	24314
20	521	24314
21	545	24244
22	569	24210
23	594	24175
24	619	24157
25	643	24102
26	667	24067
27	691	24020
28	716	23995
29	741	23991
30	765	23925
31	789	23888
32	812	23801
33	836	23762
34	860	23735
35	888	23781
36	912	23756
37	938	23748
38	961	23701
39	984	23623
40	1008	23579
41	1030	23495
42	1054	23471
43	1076	23398
44	1102	23394
45	1124	23312
46	1148	23297
47	1171	23238
48	1195	23210
49	1215	23097
50	1242	23126
51	1270	23167
52	1298	23209
53	1324	23194
54	1351	23223
55	1375	23190
56	1399	23155
57	1422	23096
58	1446	23073
59	1471	23052
60	1498	23071
61	1523	23043
62	1546	22995
63	1573	23008
64	1601	23042
65	1624	22990
66	1652	23017
67	1676	22981
68	1700	22949
69	1721	22874
70	1748	22873
71	1770	22814
72	1795	22794
73	1816	22733
74	1842	22727
75	1863	22650
76	1890	22664
77	1911	22589
78	1936	22578
79	1956	22504
80	1982	22488
81	2006	22461
82	2031	22441
83	2056	22420
84	2078	22377
85	2099	22312
86	2123	22283
87	2146	22245
88	2170	22217
89	2193	22175
90	2219	22173
91	2246	22167
92	2272	22162
93	2295	22126
94	2322	22121
95	2345	22087
96	2365	22023
97	2390	21997
98	2411	21947
99	2438	21948
100	2462	21915
101	2488	21909
102	2512	21884
103	2538	21873
104	2559	21814
105	2582	21781
106	2608	21769
107	2632	21740
108	2659	21740
109	2684	21720
110	2704	21661
111	2725	21611
112	2749	21586
113	2774	21560
114	2798	21538
115	2824	21521
116	2844	21465
117	2870	21455
118	2894	21427
119	2922	21429
120	2946	21405
121	2970	21378
122	2996	21366
123	3022	21349
124	3046	21322
125	3071	21302
126	3098	21299
127	3121	21262
128	3147	21254
129	3171	21222
130	3195	21194
131	3219	21172
132	3243	21145
133	3269	21132
134	3297	21128
135	3323	21114
136	3347	21086
137	3369	21049
138	3395	21032
139	3419	21005
140	3442	20973
141	3465	20940
142	3489	20910
143	3514	20888
144	3540	20875
145	3564	20851
146	3588	20825
147	3615	20815
148	3639	20786
149	3668	20790
150	3692	20760
151	3717	20741
152	3742	20720
153	3765	20687
154	3788	20652
155	3814	20639
156	3842	20632
157	3867	20609
158	3891	20585
159	3917	20566
160	3943	20548
161	3966	20518
162	3994	20509
163	4022	20503
164	4045	20474
165	4068	20439
166	4093	20419
167	4118	20394
168	4142	20367
169	4163	20330
170	4190	20313
171	4214	20290
172	4238	20263
173	4264	20245
174	4288	20216
175	4313	20195
176	4338	20171
177	4362	20143
178	4384	20111
179	4409	20087
180	4435	20068
181	4458	20039
182	4484	20019
183	4506	19985
184	4531	19961
185	4553	19927
186	4574	19886
187	4599	19864
188	4626	19851
189	4649	19821
190	4675	19802
191	4696	19763
192	4718	19730
193	4743	19708
194	4766	19678
195	4789	19645
196	4816	19632
197	4839	19600
198	4867	19591
199	4892	19571
200	4917	19548
201	4942	19524
202	4968	19506
203	4994	19488
204	5020	19471
205	5047	19456
206	5070	19422
207	5093	19392
208	5118	19371
209	5142	19344
210	5167	19324
211	5192	19301
212	5218	19279
213	5241	19251
214	5266	19230
215	5290	19202
216	5313	19174
217	5334	19134
218	5357	19105
219	5380	19076
220	5406	19056
221	5430	19030
222	5453	19001
223	5475	18968
224	5502	18951
225	5527	18929
226	5553	18912
227	5580	18896
228	5607	18880
229	5631	18851
