Model-Method (Top N),MAE,R2
Linear Regression - Random Forest (Top 5),14557.10257554537,0.08721094744515567
Lasso - Random Forest (Top 5),14557.106098711074,0.08721076415712548
Random Forest - Random Forest (Top 5),1809.4546236888295,0.9451240331611954
XGBoost - Random Forest (Top 5),3065.0602641549635,0.924553072141338
LightGBM - Random Forest (Top 5),4179.350285597695,0.8897802460698004
CatBoost - Random Forest (Top 5),3328.9611739178313,0.9172849287141834
Linear Regression - Lasso (Top 5),14517.122635730086,0.06453514628479662
Lasso - Lasso (Top 5),14517.122500995256,0.06453359393453073
Random Forest - Lasso (Top 5),14331.39794282579,0.08744912323688458
XGBoost - Lasso (Top 5),14311.376474663579,0.08968120208942754
LightGBM - Lasso (Top 5),14277.901932709481,0.09374304865569505
CatBoost - Lasso (Top 5),14300.170998559062,0.09112738533442744
Linear Regression - RFE (Top 5),14519.005274571931,0.06475762948447739
Lasso - RFE (Top 5),14519.003148584841,0.06475583221472947
Random Forest - RFE (Top 5),14328.256048391102,0.08750785853987486
XGBoost - RFE (Top 5),14291.0577302352,0.09158540908222834
LightGBM - RFE (Top 5),14262.681032436083,0.0953139087373499
CatBoost - RFE (Top 5),14283.346121888964,0.09269510597446406
Linear Regression - Random Forest (Top 10),14559.56859350714,0.0902782061405637
Lasso - Random Forest (Top 10),14559.5900545788,0.09027621582891776
Random Forest - Random Forest (Top 10),1689.2313845778872,0.956522264809814
XGBoost - Random Forest (Top 10),3073.650150509794,0.9303560665131464
LightGBM - Random Forest (Top 10),4161.630224198839,0.8960961332828047
CatBoost - Random Forest (Top 10),3327.819722455501,0.9249464997220447
Linear Regression - Lasso (Top 10),14508.87725692922,0.06583477859923803
Lasso - Lasso (Top 10),14508.81446224383,0.06583880804044329
Random Forest - Lasso (Top 10),14443.885967562235,0.07502911794519784
XGBoost - Lasso (Top 10),14314.598281300037,0.08921397371961926
LightGBM - Lasso (Top 10),14256.922907144246,0.09655649671685296
CatBoost - Lasso (Top 10),14295.838889876793,0.09173520117969669
Linear Regression - RFE (Top 10),14503.847005114267,0.06566109213018112
Lasso - RFE (Top 10),14503.854316839472,0.06565996223406911
Random Forest - RFE (Top 10),14443.88596756232,0.07502911794518863
XGBoost - RFE (Top 10),14320.53203326882,0.08847410380438958
LightGBM - RFE (Top 10),14257.77466598011,0.09627827396566346
CatBoost - RFE (Top 10),14301.011503398146,0.09096475793554948
Linear Regression - Random Forest (Top 15),14559.692422813296,0.092503911426836
Lasso - Random Forest (Top 15),14559.683979219202,0.09250222327393565
Random Forest - Random Forest (Top 15),1612.7016962343146,0.9650943129519473
XGBoost - Random Forest (Top 15),3152.545149493285,0.933845022895436
LightGBM - Random Forest (Top 15),4137.750325315788,0.9031541356405559
CatBoost - Random Forest (Top 15),3314.9512972560474,0.9309625038553431
Linear Regression - Lasso (Top 15),14478.27864905874,0.07057067999266009
Lasso - Lasso (Top 15),14478.229515199166,0.07057482957363792
Random Forest - Lasso (Top 15),14443.88596756232,0.07502911794518863
XGBoost - Lasso (Top 15),14325.137262608701,0.08793530150172146
LightGBM - Lasso (Top 15),14255.111905539034,0.09642401269479739
CatBoost - Lasso (Top 15),14305.124621472014,0.09032248713145785
Linear Regression - RFE (Top 15),14478.27864905872,0.07057067999266042
Lasso - RFE (Top 15),14478.230054248435,0.07057479849605353
Random Forest - RFE (Top 15),14443.88596756232,0.07502911794518863
XGBoost - RFE (Top 15),14325.137262608701,0.08793530150172146
LightGBM - RFE (Top 15),14255.111905539034,0.09642401269479739
CatBoost - RFE (Top 15),14305.659218148528,0.0903169695117898
