Model-Method (Top N),MAE,MSE,R2,MAPE
Linear Regression - Random Forest (Top 5),14557.10257554537,475993013.5237239,0.08721094744515567,2596019999545.912
Lasso - Random Forest (Top 5),14557.488699793781,476004134.8586236,0.08718962059274848,2595047527711.3584
Random Forest - Random Forest (Top 5),1809.4546236888295,28616224.912558425,0.9451240331611954,9022329851.270315
XGBoost - Random Forest (Top 5),3065.0602641549635,39343384.38003315,0.924553072141338,564734707492.2134
LightGBM - Random Forest (Top 5),4179.350285597695,57476404.51672349,0.8897802460698004,1068806148192.7701
CatBoost - Random Forest (Top 5),3328.9611739178313,43133510.34936942,0.9172849287141834,543393148877.99
Linear Regression - RFE (Top 5),14557.102575545376,475993013.5237239,0.08721094744515567,2596019999545.913
Lasso - RFE (Top 5),14557.489103935646,476004138.10947925,0.08718961435873807,2595048755329.027
Random Forest - RFE (Top 5),1809.244220139004,28628737.054713577,0.9451000392241864,8888104216.140066
XGBoost - RFE (Top 5),3065.059087479618,39343328.76161925,0.9245531787981122,564734707492.184
LightGBM - RFE (Top 5),4179.350285597695,57476404.51672349,0.8897802460698004,1068806148192.7701
CatBoost - RFE (Top 5),3333.622588002636,43169852.48139985,0.9172152371445146,551866515143.768
Linear Regression - Boruta (Top 5),15118.820383651057,504845728.6877664,0.03188147455383028,2622498102125.699
Lasso - Boruta (Top 5),15120.62138213473,505036802.0860996,0.03151506222995626,2628106821840.35
Random Forest - Boruta (Top 5),2131.097513020376,34350279.47337664,0.9341281107817461,6720814639.498241
XGBoost - Boruta (Top 5),3976.523120191308,53489768.64402256,0.8974252271466969,645192850018.4512
LightGBM - Boruta (Top 5),5260.348709983767,80960118.96104857,0.8447466492541286,1302801364428.8745
CatBoost - Boruta (Top 5),4520.332655282353,61395807.70698347,0.8822641938947204,729546577260.5251
Linear Regression - Random Forest (Top 10),14559.56859350714,474393527.08641654,0.0902782061405637,2626626321172.197
Lasso - Random Forest (Top 10),14562.603188115514,474581419.14107627,0.08991789452740406,2628798124814.2036
Random Forest - Random Forest (Top 10),1689.2313845778872,22672377.737702586,0.956522264809814,25578413069.843204
XGBoost - Random Forest (Top 10),3073.650150509794,36317291.1433022,0.9303560665131464,768959218948.266
LightGBM - Random Forest (Top 10),4161.630224198839,54182852.54085424,0.8960961332828047,1076855856326.3792
CatBoost - Random Forest (Top 10),3327.819722455501,39138223.30889655,0.9249464997220447,708678833736.4307
Linear Regression - RFE (Top 10),14559.568593507132,474393527.08641654,0.0902782061405637,2626626321172.19
Lasso - RFE (Top 10),14562.603919829873,474581424.01368487,0.08991788518343535,2628799050388.7173
Random Forest - RFE (Top 10),1687.5049037455224,22641796.52776063,0.9565809089345297,25676246175.887264
XGBoost - RFE (Top 10),3073.149680770624,36207651.43337399,0.9305663173447855,768959218948.273
LightGBM - RFE (Top 10),4161.610624472435,54182815.42348485,0.8960962044610099,1076855856326.379
CatBoost - RFE (Top 10),3316.8422222067393,38712079.28737625,0.9257636957451036,765737330904.3926
Linear Regression - Boruta (Top 10),14549.275733072476,475370365.2278829,0.088404970323408,2586963964947.182
Lasso - Boruta (Top 10),14552.31015928408,475569199.7443878,0.08802367487414897,2587714663616.107
Random Forest - Boruta (Top 10),1635.8277619683563,19309135.365764003,0.9629717939645966,64740885492.70715
XGBoost - Boruta (Top 10),3124.804938094168,34416966.5142878,0.9340002282306129,827906122629.4075
LightGBM - Boruta (Top 10),4145.222399882517,50716971.6085646,0.9027424874992933,1043808502691.8716
CatBoost - Boruta (Top 10),3334.2044562826723,36831240.71854572,0.9293704899762669,717404128602.217
Linear Regression - Random Forest (Top 15),14559.692422813296,473232886.3409308,0.092503911426836,2608156805593.9033
Lasso - Random Forest (Top 15),14562.523071523183,473507839.1513066,0.09197664756339763,2615274614345.5127
Random Forest - Random Forest (Top 15),1612.7016962343143,18202303.282028425,0.9650943129519473,66559789814.65071
XGBoost - Random Forest (Top 15),3152.545149493285,34497901.59452239,0.933845022895436,703897517798.565
LightGBM - Random Forest (Top 15),4137.750325315788,50502309.04362412,0.9031541356405559,1174812722027.7017
CatBoost - Random Forest (Top 15),3314.9512972560474,36001051.66034871,0.9309625038553431,761071145801.3628
Linear Regression - RFE (Top 15),14560.005909166863,473258870.0143092,0.09245408377825481,2605509750405.4653
Lasso - RFE (Top 15),14562.293201708595,473501711.4273192,0.09198839840682149,2613360300624.7446
Random Forest - RFE (Top 15),1616.8292870057167,18189619.08948456,0.9651186368217638,72187405650.78122
XGBoost - RFE (Top 15),3116.5401661304522,33702810.929255426,0.9353697302638733,689146324039.4146
LightGBM - RFE (Top 15),4141.517890511793,50562440.70861732,0.9030388240205147,1220033199298.1375
CatBoost - RFE (Top 15),3299.777923851468,36048704.02932188,0.9308711231848475,731357860994.7079
Linear Regression - Boruta (Top 15),14559.741774105818,474398309.80648315,0.09026903454687596,2627105855893.023
Lasso - Boruta (Top 15),14562.772162020643,474587053.7364438,0.08990708933316605,2629481071298.4805
Random Forest - Boruta (Top 15),1636.2794504174867,19330674.285815444,0.9629304898070393,64672283606.75299
XGBoost - Boruta (Top 15),3096.995942036735,34040612.13125778,0.9347219450435713,666413265586.2085
LightGBM - Boruta (Top 15),4098.030955441254,50292987.58253026,0.903555541402243,1134103543264.6907
CatBoost - Boruta (Top 15),3296.5592617667667,36576037.51188243,0.9298598809685731,713130736062.2621
