Model-Method (Top N),MAE,MSE,R2,MAPE
Linear Regression - Random Forest (Top 5),14557.10257554537,475993013.5237239,0.08721094744515567,2596019999545.912
Lasso - Random Forest (Top 5),14557.137924508741,475993983.46518445,0.08720908743477385,2595922760934.19
Random Forest - Random Forest (Top 5),1809.4546236888295,28616224.912558425,0.9451240331611954,9022329851.270315
XGBoost - Random Forest (Top 5),3065.0602641549635,39343384.38003315,0.924553072141338,564734707492.2134
LightGBM - Random Forest (Top 5),4179.350285597695,57476404.51672349,0.8897802460698004,1068806148192.7701
CatBoost - Random Forest (Top 5),3328.9611739178313,43133510.34936942,0.9172849287141834,543393148877.99
Linear Regression - RFE (Top 5),14557.102575545376,475993013.5237239,0.08721094744515567,2596019999545.913
Lasso - RFE (Top 5),14557.13795873829,475993983.67493993,0.08720908703253583,2595922861177.8936
Random Forest - RFE (Top 5),1809.244220139004,28628737.054713577,0.9451000392241864,8888104216.140066
XGBoost - RFE (Top 5),3065.059087479618,39343328.76161925,0.9245531787981122,564734707492.184
LightGBM - RFE (Top 5),4179.350285597695,57476404.51672349,0.8897802460698004,1068806148192.7701
CatBoost - RFE (Top 5),3333.622588002636,43169852.48139985,0.9172152371445146,551866515143.768
Linear Regression - Boruta (Top 5),15118.820383651057,504845728.6877664,0.03188147455383028,2622498102125.699
Lasso - Boruta (Top 5),15118.914064538296,504858270.58012587,0.0318574235662763,2623058863781.821
Random Forest - Boruta (Top 5),2131.097513020376,34350279.47337664,0.9341281107817461,6720814639.498241
XGBoost - Boruta (Top 5),3976.523120191308,53489768.64402256,0.8974252271466969,645192850018.4512
LightGBM - Boruta (Top 5),5260.348709983767,80960118.96104857,0.8447466492541286,1302801364428.8745
CatBoost - Boruta (Top 5),4520.332655282353,61395807.70698347,0.8822641938947204,729546577260.5251
Linear Regression - Random Forest (Top 10),14559.56859350714,474393527.08641654,0.0902782061405637,2626626321172.197
Lasso - Random Forest (Top 10),14559.790295042494,474404732.36395866,0.09025671831536308,2626719732820.5405
Random Forest - Random Forest (Top 10),1689.2313845778872,22672377.73770259,0.956522264809814,25578413069.843204
XGBoost - Random Forest (Top 10),3073.650150509794,36317291.1433022,0.9303560665131464,768959218948.266
LightGBM - Random Forest (Top 10),4161.630224198839,54182852.54085424,0.8960961332828047,1076855856326.3792
CatBoost - Random Forest (Top 10),3327.819722455501,39138223.30889655,0.9249464997220447,708678833736.4307
Linear Regression - RFE (Top 10),14559.568593507132,474393527.08641654,0.0902782061405637,2626626321172.19
Lasso - RFE (Top 10),14559.790350857147,474404732.6434769,0.09025671777934441,2626719769625.603
Random Forest - RFE (Top 10),1687.5049037455224,22641796.527760625,0.9565809089345297,25676246175.887264
XGBoost - RFE (Top 10),3073.149680770624,36207651.43337399,0.9305663173447855,768959218948.273
LightGBM - RFE (Top 10),4161.610624472435,54182815.42348485,0.8960962044610099,1076855856326.379
CatBoost - RFE (Top 10),3316.8422222067393,38712079.28737625,0.9257636957451036,765737330904.3926
Linear Regression - Boruta (Top 10),14549.275733072476,475370365.2278829,0.088404970323408,2586963964947.182
Lasso - Boruta (Top 10),14549.45415271952,475381974.96668935,0.08838270688217154,2587039013256.672
Random Forest - Boruta (Top 10),1635.8277619683563,19309135.365764003,0.9629717939645966,64740885492.70715
XGBoost - Boruta (Top 10),3124.804938094168,34416966.5142878,0.9340002282306129,827906122629.4075
LightGBM - Boruta (Top 10),4145.222399882517,50716971.6085646,0.9027424874992933,1043808502691.8716
CatBoost - Boruta (Top 10),3334.2044562826723,36831240.71854572,0.9293704899762669,717404128602.217
Linear Regression - Random Forest (Top 15),14559.692422813296,473232886.3409308,0.092503911426836,2608156805593.9033
Lasso - Random Forest (Top 15),14559.63688933551,473243811.52116936,0.09248296073084761,2608580226072.8794
Random Forest - Random Forest (Top 15),1612.7016962343146,18202303.28202842,0.9650943129519473,66559789814.65071
XGBoost - Random Forest (Top 15),3152.545149493285,34497901.59452239,0.933845022895436,703897517798.565
LightGBM - Random Forest (Top 15),4137.750325315788,50502309.04362412,0.9031541356405559,1174812722027.7017
CatBoost - Random Forest (Top 15),3314.9512972560474,36001051.66034871,0.9309625038553431,761071145801.3628
Linear Regression - RFE (Top 15),14560.005909166863,473258870.0143092,0.09245408377825481,2605509750405.4653
Lasso - RFE (Top 15),14560.036154404137,473269008.08064663,0.0924346424929755,2606221727925.974
Random Forest - RFE (Top 15),1616.8292870057167,18189619.08948456,0.9651186368217638,72187405650.7812
XGBoost - RFE (Top 15),3116.5401661304522,33702810.929255426,0.9353697302638733,689146324039.4146
LightGBM - RFE (Top 15),4141.517890511793,50562440.70861732,0.9030388240205147,1220033199298.1375
CatBoost - RFE (Top 15),3299.777923851468,36048704.02932188,0.9308711231848475,731357860994.7079
Linear Regression - Boruta (Top 15),14559.741774105818,474398309.80648315,0.09026903454687596,2627105855893.023
Lasso - Boruta (Top 15),14559.964419099822,474409679.1591029,0.09024723208274077,2627206158380.768
Random Forest - Boruta (Top 15),1636.2794504174872,19330674.285815444,0.9629304898070393,64672283606.75299
XGBoost - Boruta (Top 15),3096.995942036735,34040612.13125778,0.9347219450435713,666413265586.2085
LightGBM - Boruta (Top 15),4098.030955441254,50292987.58253026,0.903555541402243,1134103543264.6907
CatBoost - Boruta (Top 15),3296.5592617667667,36576037.51188243,0.9298598809685731,713130736062.2621
