Model-Method (Top N),MAE,MSE,R2,MAPE
Linear Regression - Random Forest (Top 5),14557.10257554537,475993013.5237239,0.08721094744515567,2596019999545.912
Lasso - Random Forest (Top 5),14557.102927910071,475993023.06810284,0.08721092914235629,2596019027304.227
Random Forest - Random Forest (Top 5),1805.4429208016531,28076827.383355614,0.94615841002313,12045662842.186455
XGBoost - Random Forest (Top 5),2401.173449952227,30030604.88132155,0.9424117442935869,266174472881.83884
LightGBM - Random Forest (Top 5),2940.272805445856,36014848.16615889,0.9309360469555373,587800762666.7001
CatBoost - Random Forest (Top 5),2099.3659380208633,26089616.334600057,0.9499691896751085,268125978321.86118
Linear Regression - RFE (Top 5),14557.102575545376,475993013.5237239,0.08721094744515567,2596019999545.913
Lasso - RFE (Top 5),14557.102928356011,475993023.0524282,0.08721092917241491,2596019032292.619
Random Forest - RFE (Top 5),1805.5743280325125,28066099.7356924,0.9461789819203394,12284497121.193895
XGBoost - RFE (Top 5),2401.1204339651977,30028942.304847073,0.9424149325370312,266174472881.95096
LightGBM - RFE (Top 5),2940.2584073236562,36014827.1158511,0.9309360873227065,587800762666.7001
CatBoost - RFE (Top 5),2101.5413677829943,26012545.409997232,0.9501169849037127,249138865172.5446
Linear Regression - Boruta (Top 5),15118.820383651057,504845728.6877664,0.03188147455383028,2622498102125.699
Lasso - Boruta (Top 5),15118.914064538296,504858270.58012587,0.0318574235662763,2623058863781.821
Random Forest - Boruta (Top 5),2127.282259557132,34102717.55610446,0.9346028484385925,7041394289.4058075
XGBoost - Boruta (Top 5),3216.3087299948993,39184201.56842993,0.9248583294112098,599231493726.8685
LightGBM - Boruta (Top 5),3767.5358169181914,46561120.44801204,0.9107119646462739,773008989142.3451
CatBoost - Boruta (Top 5),2887.893675225924,31165976.267084133,0.9402344968507387,530618525474.44556
Linear Regression - Random Forest (Top 10),14559.56859350714,474393527.08641654,0.0902782061405637,2626626321172.197
Lasso - Random Forest (Top 10),14559.570735762365,474393630.0493149,0.09027800869353442,2626627255626.917
Random Forest - Random Forest (Top 10),1683.2810442975072,22696215.27173134,0.9564765527100916,24173048595.75351
XGBoost - Random Forest (Top 10),2496.8918286822645,26758344.741275962,0.9486868011706482,514875804219.5817
LightGBM - Random Forest (Top 10),2986.791202377537,32578101.407933127,0.9375265319588545,813683290989.9882
CatBoost - Random Forest (Top 10),2011.393491339229,18995582.54265181,0.9635730792276213,472442159198.6022
Linear Regression - RFE (Top 10),14559.568593507132,474393527.08641654,0.0902782061405637,2626626321172.19
Lasso - RFE (Top 10),14559.57073585527,474393630.051075,0.09027800869015923,2626627255407.482
Random Forest - RFE (Top 10),1683.2306638313985,22707576.07670506,0.9564547666373687,24188363631.978634
XGBoost - RFE (Top 10),2497.6452204571247,26772835.54923167,0.9486590128408012,514875804210.5649
LightGBM - RFE (Top 10),2986.8159696426915,32578431.19133848,0.9375258995489796,813683290989.9882
CatBoost - RFE (Top 10),2007.8475855726804,18606219.49012097,0.9643197421443487,440521196275.13965
Linear Regression - Boruta (Top 10),14549.275733072476,475370365.2278829,0.088404970323408,2586963964947.182
Lasso - Boruta (Top 10),14549.45415271952,475381974.96668935,0.08838270688217154,2587039013256.672
Random Forest - Boruta (Top 10),1629.6087762916004,19118755.903801955,0.9633368755598575,60420304690.96161
XGBoost - Boruta (Top 10),2449.6571593351346,22590656.147864155,0.9566789783968679,615687265185.7
LightGBM - Boruta (Top 10),2952.8191013464725,28698390.556592308,0.944966468032634,674806392045.8368
CatBoost - Boruta (Top 10),1963.515898162631,15713445.209440837,0.969867077125948,441462031247.95685
Linear Regression - Random Forest (Top 15),14559.692422813296,473232886.3409308,0.092503911426836,2608156805593.9033
Lasso - Random Forest (Top 15),14559.63688933551,473243811.52116936,0.09248296073084761,2608580226072.8794
Random Forest - Random Forest (Top 15),1606.8280088049805,18095814.137204614,0.9652985220954629,61629647511.7171
XGBoost - Random Forest (Top 15),2456.7474878261237,22792381.116013955,0.9562921400666349,582319209891.5587
LightGBM - Random Forest (Top 15),2972.5059817346687,28532019.724201,0.9452855094264287,690527751915.8594
CatBoost - Random Forest (Top 15),1927.9330555826987,15029274.182066604,0.9711790792060611,350463739270.20404
Linear Regression - RFE (Top 15),14560.005909166863,473258870.0143092,0.09245408377825481,2605509750405.4653
Lasso - RFE (Top 15),14560.036154404137,473269008.08064663,0.0924346424929755,2606221727925.974
Random Forest - RFE (Top 15),1612.050769828261,18133720.478357304,0.9652258309167197,62086981636.908936
XGBoost - RFE (Top 15),2491.809542503678,23329093.122111335,0.9552629131040083,578423385608.5002
LightGBM - RFE (Top 15),2951.125152329822,27736087.79432761,0.9468118300477945,713393876593.8296
CatBoost - RFE (Top 15),1924.546605916503,14927954.603571255,0.9713733749193014,516146187403.72296
Linear Regression - Boruta (Top 15),14559.741774105818,474398309.80648315,0.09026903454687596,2627105855893.023
Lasso - Boruta (Top 15),14559.743947777106,474398414.39594114,0.09026883398067109,2627106858674.367
Random Forest - Boruta (Top 15),1629.8051328302538,19163299.836505305,0.9632514557890328,60584166559.952835
XGBoost - Boruta (Top 15),2453.902946862531,22898027.646053184,0.95608954676522,753529329877.6418
LightGBM - Boruta (Top 15),2935.7524108903617,28181640.84381214,0.9459574142594384,820795280262.4575
CatBoost - Boruta (Top 15),1953.1677869131474,15899131.549568588,0.969510995306127,497806732611.17175
